filename,text
sat.mp3,sat
pin.mp3,pin
sip.mp3,sip
nap.mp3,nap
tan.mp3,tan
tin.mp3,tin
pit.mp3,pit
sap.mp3,sap
ant.mp3,ant
man.mp3,man
hen.mp3,hen
map.mp3,map
pet.mp3,pet
mad.mp3,mad
kit.mp3,kit
ham.mp3,ham
cam.mp3,cam
bug.mp3,bug
fat.mp3,fat
lip.mp3,lip
lit.mp3,lit
tag.mp3,tag
led.mp3,led
ban.mp3,ban
nail.mp3,nail
tail.mp3,tail
bake.mp3,bake
lake.mp3,lake
hay.mp3,hay
pay.mp3,pay
say.mp3,say
fail.mp3,fail
jam.mp3,jam
jet.mp3,jet
jug.mp3,jug
jab.mp3,jab
jig.mp3,jig
jot.mp3,jot
jay.mp3,jay
jail.mp3,jail
job.mp3,job
jade.mp3,jade
goat.mp3,goat
soap.mp3,soap
cone.mp3,cone
bone.mp3,bone
home.mp3,home
bowl.mp3,bowl
mow.mp3,mow
low.mp3,low
rope.mp3,rope
tie.mp3,tie
pie.mp3,pie
die.mp3,die
sky.mp3,sky
bike.mp3,bike
high.mp3,high
ride.mp3,ride
right.mp3,right
feet.mp3,feet
beef.mp3,beef
heel.mp3,heel
seat.mp3,seat
sea.mp3,sea
seed.mp3,seed
gene.mp3,gene
delete.mp3,delete
theme.mp3,theme
fork.mp3,fork
form.mp3,form
corn.mp3,corn
jaw.mp3,jaw
law.mp3,law
wall.mp3,wall
call.mp3,call
fault.mp3,fault
paul.mp3,paul
zip.mp3,zip
wag.mp3,wag
king.mp3,king
zap.mp3,zap
wig.mp3,wig
long.mp3,long
ring.mp3,ring
bang.mp3,bang
wet.mp3,wet
buzz.mp3,buzz
book.mp3,book
wood.mp3,wood
food.mp3,food
root.mp3,root
cook.mp3,cook
hook.mp3,hook
foot.mp3,foot
roof.mp3,roof
vet.mp3,vet
vex.mp3,vex
yam.mp3,yam
yap.mp3,yap
yes.mp3,yes
fix.mp3,fix
mix.mp3,mix
chip.mp3,chip
chat.mp3,chat
chop.mp3,chop
chin.mp3,chin
cash.mp3,cash
ship.mp3,ship
shop.mp3,shop
shin.mp3,shin
shot.mp3,shot
rash.mp3,rash
lash.mp3,lash
thick.mp3,thick
this.mp3,this
that.mp3,that
thin.mp3,thin
them.mp3,them
then.mp3,then
with.mp3,with
math.mp3,math
moth.mp3,moth
these.mp3,these
things.mp3,things
quiz.mp3,quiz
quilt.mp3,quilt
quill.mp3,quill
quit.mp3,quit
quest.mp3,quest
quick.mp3,quick
quack.mp3,quack
quin.mp3,quin
owl.mp3,owl
fowl.mp3,fowl
down.mp3,down
town.mp3,town
cow.mp3,cow
cloud.mp3,cloud
loud.mp3,loud
count.mp3,count
round.mp3,round
house.mp3,house
couch.mp3,couch
howl.mp3,howl
mouth.mp3,mouth
out.mp3,out
pouch.mp3,pouch
south.mp3,south
oil.mp3,oil
coin.mp3,coin
boil.mp3,boil
soil.mp3,soil
foil.mp3,foil
boy.mp3,boy
joy.mp3,joy
toy.mp3,toy
royal.mp3,royal
loyal.mp3,loyal
clue.mp3,clue
glue.mp3,glue
true.mp3,true
drew.mp3,drew
flew.mp3,flew
blew.mp3,blew
rude.mp3,rude
june.mp3,june
rule.mp3,rule
river.mp3,river
fern.mp3,fern
serve.mp3,serve
girl.mp3,girl
sir.mp3,sir
dirt.mp3,dirt
curl.mp3,curl
fur.mp3,fur
curve.mp3,curve
chirp.mp3,chirp
herd.mp3,herd
hurt.mp3,hurt
perm.mp3,perm
turf.mp3,turf
turn.mp3,turn
arm.mp3,arm
bar.mp3,bar
art.mp3,art
ark.mp3,ark
bark.mp3,bark
card.mp3,card
far.mp3,far
mark.mp3,mark
shark.mp3,shark
tar.mp3,tar
